0.000000,0.000000,0.003400,0.000000,0.000000,0.000000,1.000000,0.000000,0.800000,-1.500000,0.000000,0.800000,-1.500000,0.000000,1.000000,-1.500000,0.000000,1.000000,-1.500000
0.000000,0.000000,0.003400,0.000000,0.000000,0.000000,1.000000,0.000000,0.800000,-1.500000,0.000000,0.800000,-1.500000,0.000000,1.000000,-1.500000,0.000000,1.000000,-1.500000
0.000000,0.000000,0.003400,0.000000,0.000000,0.000000,1.000000,0.000000,0.800000,-1.500000,0.000000,0.800000,-1.500000,0.000000,1.000000,-1.500000,0.000000,1.000000,-1.500000
0.000000,0.000000,0.003400,0.000000,0.000000,0.000000,1.000000,0.000000,0.800000,-1.500000,0.000000,0.800000,-1.500000,0.000000,1.000000,-1.500000,0.000000,1.000000,-1.500000
0.000000,0.000000,0.003400,0.000000,0.000000,0.000000,1.000000,0.000000,0.800000,-1.500000,0.000000,0.800000,-1.500000,0.000000,1.000000,-1.500000,0.000000,1.000000,-1.500000
0.000000,0.000000,0.003022,0.000000,0.000000,0.000000,1.000000,0.000000,0.800000,-1.500000,0.000000,0.800000,-1.500000,0.000000,0.976347,-1.526337,0.000000,0.972091,-1.518953
0.000000,0.000000,0.001133,0.000000,0.000000,0.000000,1.000000,0.000000,0.800000,-1.500000,0.000000,0.800000,-1.500000,0.000000,0.858081,-1.658022,0.000000,0.832543,-1.613716
-0.015556,0.000000,0.000178,0.000000,-0.014732,0.000000,0.999891,0.000000,0.767701,-1.458372,0.000000,0.767701,-1.457478,0.000000,0.663317,-1.742808,0.000000,0.633523,-1.691118
-0.054444,0.000000,0.000622,0.000000,-0.051541,0.000000,0.998671,0.000000,0.686955,-1.354301,0.000000,0.686955,-1.351174,0.000000,0.353805,-1.757245,0.000000,0.345292,-1.742476
-0.075250,0.000000,0.000800,0.000000,-0.069666,0.000000,0.997570,0.000000,0.637291,-1.287996,0.000000,0.638492,-1.283989,0.000000,0.230000,-1.683548,0.000000,0.230000,-1.648512
-0.084000,0.000000,0.000800,0.000000,-0.075361,0.000000,0.997156,0.000000,0.608350,-1.246869,0.000000,0.611552,-1.242884,0.000000,0.230000,-1.551096,0.000000,0.230000,-1.457667
-0.095917,0.000000,0.000800,0.000000,-0.090567,0.000000,0.995890,0.000000,0.589163,-1.189621,0.000000,0.593413,-1.189770,0.000000,0.230000,-1.431392,0.000000,0.230000,-1.301839
-0.120500,0.000000,0.000800,0.000000,-0.143649,0.000000,0.989629,0.000000,0.608993,-1.067890,0.000000,0.610476,-1.088617,0.000000,0.230000,-1.362677,0.000000,0.230000,-1.286082
-0.145083,0.000000,0.000800,0.000000,-0.196321,0.000000,0.980540,0.000000,0.628824,-0.946160,0.000000,0.627540,-0.987465,0.000000,0.230000,-1.293963,0.000000,0.230000,-1.270325
-0.130000,0.000000,0.059533,0.000000,-0.252855,0.000000,0.967504,0.000000,0.744615,-0.921814,0.000000,0.772489,-0.967235,0.000000,0.430416,-1.190698,0.000000,0.461707,-1.192378
-0.117500,0.000000,0.099062,0.000000,-0.313780,0.000000,0.949496,0.000000,0.849974,-0.921814,0.000000,0.889936,-0.967235,0.000000,0.657722,-1.175364,0.000000,0.702630,-1.180508
-0.113333,0.000000,0.116000,0.000000,-0.376143,0.000000,0.926562,0.000000,0.932386,-0.921814,0.000000,0.967735,-0.967235,0.000000,0.869552,-1.224409,0.000000,0.911080,-1.223055
-0.109167,0.000000,0.132937,0.000000,-0.436845,0.000000,0.899537,0.000000,1.014798,-0.921814,0.000000,1.045534,-0.967235,0.000000,1.081382,-1.273454,0.000000,1.119530,-1.265603
-0.105000,0.000000,0.149875,0.000000,-0.495618,0.000000,0.868541,0.000000,1.097210,-0.921814,0.000000,1.123332,-0.967235,0.000000,1.293213,-1.322499,0.000000,1.327979,-1.308150
-0.100833,0.000000,0.166812,0.000000,-0.552203,0.000000,0.833710,0.000000,1.179622,-0.921814,0.000000,1.201131,-0.967235,0.000000,1.505043,-1.371544,0.000000,1.536429,-1.350697
-0.100000,0.000000,0.182200,0.000000,-0.601701,0.000000,0.798721,0.000000,1.127139,-0.921814,0.000000,1.162391,-0.967235,0.000000,1.706659,-1.381353,0.000000,1.706913,-1.359207
-0.100000,0.000000,0.197200,0.000000,-0.647879,0.000000,0.761744,0.000000,1.040932,-0.921814,0.000000,1.094515,-0.967235,0.000000,1.905722,-1.381353,0.000000,1.867906,-1.359207
-0.108333,0.000000,0.197200,0.000000,-0.670127,0.000000,0.742247,0.000000,0.840134,-0.921814,0.000000,0.881404,-0.967235,0.000000,1.959657,-1.381353,0.000000,1.932551,-1.359207
-0.116667,0.000000,0.197200,0.000000,-0.691789,0.000000,0.722100,0.000000,0.639336,-0.921814,0.000000,0.668293,-0.967235,0.000000,2.013592,-1.381353,0.000000,1.997197,-1.359207
-0.113333,0.000000,0.208500,0.000000,-0.716982,0.000000,0.697092,0.000000,0.438148,-1.144938,0.000000,0.469027,-1.162114,0.000000,2.095303,-1.301033,0.000000,2.092209,-1.296647
-0.102222,0.000000,0.227333,0.000000,-0.743913,0.000000,0.668276,0.000000,0.236700,-1.516812,0.000000,0.278992,-1.486913,0.000000,2.195531,-1.167167,0.000000,2.207467,-1.192381
-0.122222,0.000000,0.255189,0.000000,-0.798899,0.000000,0.601465,0.000000,0.048037,-1.256330,0.000000,0.096880,-1.291761,0.000000,2.288727,-1.013632,0.000000,2.299255,-1.028525
-0.150000,0.000000,0.285300,0.000000,-0.854089,0.000000,0.520127,0.000000,-0.137430,-0.837758,0.000000,-0.083252,-0.966622,0.000000,2.380165,-0.855180,0.000000,2.385175,-0.849771
-0.172222,0.000000,0.298622,0.000000,-0.909521,0.000000,0.415658,0.000000,-0.137430,-0.837758,0.000000,-0.083252,-0.966622,0.000000,2.619743,-0.855180,0.000000,2.616603,-0.849771
-0.190000,0.000000,0.309280,0.000000,-0.955754,0.000000,0.294167,0.000000,-0.137430,-0.837758,0.000000,-0.083252,-0.966622,0.000000,2.811406,-0.855180,0.000000,2.801746,-0.849771
-0.190000,0.000000,0.309280,0.000000,-0.992628,0.000000,0.121201,0.000000,-0.137430,-0.837758,0.000000,-0.083252,-0.966622,0.000000,2.811406,-0.855180,0.000000,2.801746,-0.849771
-0.190000,0.000000,0.309280,0.000000,-0.998058,0.000000,0.062293,0.000000,-0.137430,-0.837758,0.000000,-0.083252,-0.966622,0.000000,2.811406,-0.855180,0.000000,2.801746,-0.849771
-0.190000,0.000000,0.309280,0.000000,-1.000000,0.000000,-0.000768,0.000000,-0.137430,-0.837758,0.000000,-0.083252,-0.966622,0.000000,2.770471,-0.898692,0.000000,2.762923,-0.890956
-0.190000,0.000000,0.309280,0.000000,-0.996833,0.000000,-0.079526,0.000000,-0.137430,-0.837758,0.000000,-0.083252,-0.966622,0.000000,2.565797,-1.116252,0.000000,2.568807,-1.096882
-0.190000,0.000000,0.309280,0.000000,-0.987473,0.000000,-0.157790,0.000000,-0.137430,-0.837758,0.000000,-0.083252,-0.966622,0.000000,2.361124,-1.333811,0.000000,2.374692,-1.302809
-0.190000,0.000000,0.309280,0.000000,-0.979740,0.000000,-0.200275,0.000000,-0.137430,-0.837758,0.000000,-0.083252,-0.966622,0.000000,2.126293,-1.467707,0.000000,2.146759,-1.451801
-0.190000,0.000000,0.309280,0.000000,-0.972302,0.000000,-0.233728,0.000000,-0.137430,-0.837758,0.000000,-0.083252,-0.966622,0.000000,1.883923,-1.580688,0.000000,1.910372,-1.586559
-0.190000,0.000000,0.309280,0.000000,-0.954630,0.000000,-0.297794,0.000000,-0.137430,-0.837758,0.000000,-0.083252,-0.966622,0.000000,1.645212,-1.606719,0.000000,1.692683,-1.607858
-0.190000,0.000000,0.309280,0.000000,-0.930782,0.000000,-0.365575,0.000000,-0.137430,-0.837758,0.000000,-0.083252,-0.966622,0.000000,1.424784,-1.627543,0.000000,1.488160,-1.624896
-0.190000,0.000000,0.309280,0.000000,-0.892600,0.000000,-0.450848,0.000000,-0.137430,-0.837758,0.000000,-0.083252,-0.966622,0.000000,1.277491,-1.627543,0.000000,1.336299,-1.624896
-0.190500,0.000000,0.304180,0.000000,-0.850991,0.000000,-0.525180,0.000000,-0.113541,-0.978760,0.000000,-0.083252,-1.062557,0.000000,1.189116,-1.672884,0.000000,1.245182,-1.665131
-0.191750,0.000000,0.291430,0.000000,-0.810522,0.000000,-0.585709,0.000000,-0.053821,-1.331264,0.000000,-0.083252,-1.302394,0.000000,1.189116,-1.786235,0.000000,1.245182,-1.765716
-0.193000,0.000000,0.278680,0.000000,-0.765755,0.000000,-0.643133,0.000000,0.005899,-1.683768,0.000000,-0.083252,-1.542231,0.000000,1.189116,-1.899586,0.000000,1.245182,-1.866302
-0.191333,0.000000,0.278680,0.000000,-0.745176,0.000000,-0.666868,0.000000,0.005899,-1.683768,0.000000,-0.083252,-1.542231,0.000000,1.189116,-1.899586,0.000000,1.245182,-1.866302
-0.190000,0.000000,0.274883,0.000000,-0.718122,0.000000,-0.695917,0.000000,0.005899,-1.683768,0.000000,-0.083252,-1.542231,0.000000,1.189116,-1.899586,0.000000,1.245182,-1.866302
-0.190000,0.000000,0.255900,0.000000,-0.665581,0.000000,-0.746326,0.000000,0.005899,-1.683768,0.000000,-0.083252,-1.542231,0.000000,1.189116,-1.899586,0.000000,1.245182,-1.866302
-0.190000,0.000000,0.236917,0.000000,-0.609511,0.000000,-0.792777,0.000000,0.005899,-1.683768,0.000000,-0.083252,-1.542231,0.000000,1.189116,-1.899586,0.000000,1.245182,-1.866302
-0.185156,0.000000,0.215893,0.000000,-0.554971,0.000000,-0.831870,0.000000,-0.077878,-1.683768,0.000000,-0.185248,-1.542231,0.000000,1.189116,-1.899586,0.000000,1.245182,-1.866302
-0.179100,0.000000,0.194360,0.000000,-0.499169,0.000000,-0.866504,0.000000,-0.182600,-1.683768,0.000000,-0.312744,-1.542231,0.000000,1.189116,-1.899586,0.000000,1.245182,-1.866302
-0.183642,0.000000,0.165743,0.000000,-0.413459,0.000000,-0.910523,0.000000,-0.127287,-1.551554,0.000000,-0.188216,-1.468798,0.000000,1.033751,-1.853602,0.000000,1.082770,-1.853148
-0.188183,0.000000,0.137127,0.000000,-0.323911,0.000000,-0.946088,0.000000,-0.071973,-1.419340,0.000000,-0.063688,-1.395365,0.000000,0.878386,-1.807618,0.000000,0.920357,-1.839995
-0.190000,0.000000,0.084653,0.000000,-0.230938,0.000000,-0.972968,0.000000,0.112142,-1.471416,0.000000,0.138063,-1.481187,0.000000,0.816241,-1.728141,0.000000,0.855392,-1.785498
-0.190000,0.000000,0.016276,0.000000,-0.135520,0.000000,-0.990775,0.000000,0.382124,-1.646353,0.000000,0.391295,-1.673179,0.000000,0.816241,-1.626334,0.000000,0.855392,-1.703438
-0.209956,0.000000,0.002600,0.000000,-0.066203,0.000000,-0.997806,0.000000,0.436120,-1.571073,0.000000,0.441942,-1.588332,0.000000,0.760642,-1.551568,0.000000,0.772580,-1.584322
